country,conflict_id,start_year,end_year,duration,best,avg_deaths,HR_before,HR_after,HR_rel_change,CV_global_homicides,CV_pop,IV_deaths_cat
Bangladesh,11350,2005,2006,2,119,4.085976312551584,2.7027549398,2.7597588348000004,1.0210910335082835,6.178188546,18.76371110044721,medium
Bangladesh,13674,2016,2017,2,88,3.784189633918261,2.7521301846000004,2.373328796,0.8623606576754086,5.906905873,18.888716319099466,medium
Bhutan,421,1996,1999,4,4,0.0,3.5231997799999997,2.4843920496,0.7051521925333454,,13.267131896367848,low
Bosnia and Herzegovina,389,1992,1995,4,26455,8.796906094218341,1.635516427,2.639172356,1.6136630072502476,,15.158127027452505,high
Bosnia and Herzegovina,390,1992,1993,2,3966,7.592366128519796,1.635516427,,,,15.22134770870389,high
Bosnia and Herzegovina,390,1995,1995,1,40,3.6888794541139363,1.635516427,2.639172356,1.6136630072502476,,15.158127027452505,medium
Bosnia and Herzegovina,397,1993,1995,3,1036,5.844510134151319,1.635516427,2.639172356,1.6136630072502476,,15.158127027452505,medium
Bosnia and Herzegovina,398,1992,1994,3,8637,7.965198290612176,1.635516427,,,,15.185809420467933,high
Burundi,287,1991,1992,2,333,5.1149953094204985,,,,,15.553441768109057,medium
Burundi,287,1994,2006,13,8052,6.428726429298146,,,,6.178188546,15.84469116692467,medium
Burundi,287,2008,2008,1,201,5.303304908059076,,5.429154888499999,,6.010090245,15.910592153872718,medium
Burundi,287,2014,2015,2,241,4.791649752930709,5.429154888499999,6.054537366,1.1151896548069906,5.911968893,16.133972346565702,medium
Burundi,374,1996,2002,7,59,2.1316272948504063,,,,6.906000623,15.718232522421134,low
Cambodia,294,2011,2011,1,10,2.302585092994046,2.580089665,,,6.083969712,16.492511755693243,low
Cambodia,300,1978,1998,21,4304,5.322777664118197,,4.0376876396,,,16.26655962062738,medium
Cameroon,353,2015,2017,3,807,5.594711379601839,3.483924409,,,5.906905873,17.01687678054386,medium
Cameroon,353,2020,2020,1,28,3.332204510175204,1.2320702196666666,,,5.605310066,17.09438451197276,medium
Cameroon,405,1996,1996,1,56,4.02535169073515,,3.849219134,,,16.452480854096592,medium
Cameroon,13638,2015,2016,2,361,5.195730777772936,3.483924409,1.388093415,0.39842810923628164,5.947845376,16.99049923719913,medium
Cameroon,13638,2019,2019,1,135,4.90527477843843,1.1577196407500001,,,5.564134104,17.068841411977907,medium
Central African Republic,314,1994,2011,18,86,1.563975538357343,,20.12040065,,6.083969712,15.301342288085193,low
Central African Republic,314,2013,2019,7,58,2.114532861491106,,,,5.564134104,15.372639713234552,low
Central African Republic,416,2001,2002,2,326,5.093750200806762,,,,6.906000623,15.151071730965702,medium
Central African Republic,416,2006,2006,1,46,3.828641396489095,,,,6.178188546,15.230896379128646,medium
Central African Republic,416,2009,2014,6,654,4.6913478822291435,,20.12040065,,6.032096376,15.311594088761224,medium
Central African Republic,15283,2015,2015,1,27,3.295836866004329,,20.12040065,,5.911968893,15.31806924653127,medium
Chad,288,1989,1994,6,1945,5.781257786824492,,,,,15.729643547470497,medium
Chad,288,1997,2003,7,2071,5.689876712340271,,,,6.729341778,16.053441176431747,medium
Chad,288,2005,2010,6,2545,6.0501264597565685,,,,6.04961649,16.296420397804603,medium
Chad,288,2018,2018,1,42,3.7376696182833684,,,,5.774733653,16.55491258071927,medium
