,country,conflict_id,start_year,end_year,duration,best,avg_deaths,HR_before,HR_after,HR_rel_change,CV_global_homicides,CV_pop
293,Namibia,327,1998,2002,5,63,12.6,21.130976846666666,18.45118064,0.8731816221222449,"6,906000623",1851519.0
308,Pakistan,218,1994,1994,1,36,36.0,7.62578613,7.1363354185,0.9358163600242484,,120362764.0
311,Pakistan,325,2004,2004,1,43,43.0,6.398900105800001,6.5320765162,1.0208123909106328,"6,504204151",156664698.0
312,Pakistan,325,2006,2009,4,561,140.25,6.2489576067999995,7.2777356564,1.1646319457313175,"6,066836418",175525610.0
313,Pakistan,325,2011,2016,6,496,82.66666666666667,6.781900508600001,3.863047232,0.5696113098535348,"5,947845376",203631356.0
317,Pakistan,404,1994,1996,3,132,44.0,7.62578613,6.851538349,0.89846977507616,,127349293.0
318,Pakistan,418,2001,2017,17,2181,128.2941176470588,6.960406795199999,3.83042276,0.5503159330632107,"5,906905873",207906210.0
319,Pakistan,13936,2016,2019,4,228,57.0,6.7588063084,3.843501475,0.5686657228545237,"5,564134104",216565317.0
329,Philippines,209,1997,1997,1,32,32.0,11.286165279666667,7.6285431377999995,0.6759198495474545,,73030879.0
338,Russian Federation,399,1993,1993,1,145,145.0,17.496483166666668,27.132408251999998,1.5507349673385313,,148458777.0
339,Russian Federation,401,1994,1996,3,4704,1568.0,20.7146842,25.994830316,1.2548987020521414,,148160129.0
340,Russian Federation,401,1999,2007,9,13474,1497.111111111111,27.132408251999998,11.837778168,0.43629662571981265,"6,012406023",142805114.0
341,Russian Federation,414,1999,1999,1,85,85.0,27.132408251999998,28.819494582000004,1.06217974882033,,147214776.0
342,Russian Federation,432,2007,2015,9,2943,327.0,26.303401566,8.6545889412,0.3290292671647075,"5,911968893",144096870.0
343,Russian Federation,13247,2014,2014,1,1,1.0,11.52020351,9.4848249898,0.8233209579645698,"6,032096376",143819667.0
345,Rwanda,283,2011,2014,4,3,0.75,2.70695358425,2.577168608,0.9520549679886888,"6,032096376",11083629.0
348,Rwanda,374,2009,2012,4,11,2.75,2.64307228,3.253082125,1.2307957484234975,"6,113175523",10549668.0
351,Saudi Arabia,418,2001,2017,17,102,6.0,0.874174528,0.7481504585000001,0.8558364886376558,"5,906905873",33101183.0
377,Spain,342,1991,1991,1,44,44.0,1.234507228,1.0852609644,0.8791045850401452,,38966376.0
380,Sri Lanka,352,2003,2003,1,29,29.0,10.28221547,8.877556426333333,0.8633894565072106,"6,729341778",19224036.0
397,Tajikistan,395,1992,1998,7,8601,1228.7142857142858,2.9599706225,3.8763108434,1.3095774714568134,,6027395.0
398,Tajikistan,395,2000,2000,1,46,46.0,7.6366523506,2.6878395171999996,0.35196567734143613,"6,854248582",6216329.0
400,Tajikistan,415,1999,2000,2,3,1.5,8.7096859322,2.6878395171999996,0.30860349478997484,"6,854248582",6216329.0
404,Thailand,253,2005,2005,1,3,3.0,7.9386936422000005,6.1543772198,0.775238029980771,"6,293981484",65416189.0
405,Thailand,264,1993,2002,10,25,2.5,9.838479113,7.5423137026000004,0.7666137840994165,"6,906000623",64069093.0
409,Tunisia,343,2013,2015,3,136,45.333333333333336,2.71528754775,4.81887699,1.7747206898927228,"5,911968893",11179951.0
410,Tunisia,14333,2016,2016,1,71,71.0,3.060756101,4.81887699,1.574407378760298,"5,947845376",11303942.0
414,Turkiye,383,2005,2005,1,30,30.0,4.320607217999999,4.66034574,1.078632123879399,"6,293981484",67903461.0
415,Turkiye,383,2016,2016,1,434,434.0,3.773985048666667,2.6592390495,0.7046236313096943,"5,947845376",79827868.0
417,Turkiye,432,2007,2015,9,3,0.3333333333333333,4.5289905372499994,2.8048488914,0.6193099474001336,"5,911968893",78529413.0
418,Turkiye,13902,2015,2017,3,71,23.666666666666668,4.237401288666667,2.501474233333333,0.5903321547628175,"5,906905873",81116451.0
423,Ukraine,13219,2014,2014,1,88,88.0,4.784429494,6.183730571,1.2924697874124425,"6,032096376",45272155.0
424,Ukraine,13246,2014,2014,1,1861,1861.0,4.784429494,6.183730571,1.2924697874124425,"6,032096376",45272155.0
425,Ukraine,13247,2014,2014,1,1070,1070.0,4.784429494,6.183730571,1.2924697874124425,"6,032096376",45272155.0
427,United Kingdom,315,1998,1998,1,29,29.0,1.5219737947999998,1.6348459588000002,1.074161700014574,,58487141.0
428,United States,418,2001,2017,17,233,13.705882352941176,6.259152821600001,5.529331947999999,0.883399416118835,"5,906905873",325122128.0
429,Uzbekistan,415,1999,2000,2,347,173.5,4.877556530999999,3.8675664538,0.7929311386181043,"6,854248582",24650400.0
430,Uzbekistan,415,2004,2004,1,37,37.0,4.1341720318,3.16481964175,0.7655268376367133,"6,504204151",25864350.0
431,"Venezuela, RB",277,1992,1992,1,144,144.0,12.52574598,20.711095916,1.6534820320537909,,20557694.0
